;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;de;484735124;1;;;;;;;;;;;;;;;;;;;;;;
2;la;260760851;0,53794503;;;;;;;;;;;;;;;;;;;;;;
3;et;224298880;0,462724628;;;;;;;;;;;;;;;;;;;;;;
4;le;213270164;0,439972582;;;;;;;;;;;;;;;;;;;;;;
5;les;182565803;0,376630027;;;;;;;;;;;;;;;;;;;;;;
6;?;176771384;0,364676243;;;;;;;;;;;;;;;;;;;;;;
7;des;143022861;0,295053636;;;;;;;;;;;;;;;;;;;;;;
8;en;139279523;0,287331196;;;;;;;;;;;;;;;;;;;;;;
9;un;131336195;0,270944251;;;;;;;;;;;;;;;;;;;;;;
10;est;116548321;0,240437128;;;;;;;;;;;;;;;;;;;;;;
11;que;105139288;0,216900494;;;;;;;;;;;;;;;;;;;;;;
12;une;102875828;0,212231016;;;;;;;;;;;;;;;;;;;;;;
13;pour;97713302;0,201580816;;;;;;;;;;;;;;;;;;;;;;
14;il;88724202;0,183036462;;;;;;;;;;;;;;;;;;;;;;
15;qui;79015372;0,163007317;;;;;;;;;;;;;;;;;;;;;;
16;dans;78998986;0,162973513;;;;;;;;;;;;;;;;;;;;;;
17;a;75074984;0,154878366;;;;;;;;;;;;;;;;;;;;;;
18;pas;73502159;0,151633656;;;;;;;;;;;;;;;;;;;;;;
19;sur;58652500;0,120999072;;;;;;;;;;;;;;;;;;;;;;
20;je;57015144;0,117621235;;;;;;;;;;;;;;;;;;;;;;
21;ce;54897048;0,11325164;;;;;;;;;;;;;;;;;;;;;;
22;par;53345375;0,110050567;;;;;;;;;;;;;;;;;;;;;;
23;plus;51229425;0,105685399;;;;;;;;;;;;;;;;;;;;;;
24;ne;50397411;0,103968969;;;;;;;;;;;;;;;;;;;;;;
25;avec;43224665;0,089171721;;;;;;;;;;;;;;;;;;;;;;
26;se;43134953;0,088986646;;;;;;;;;;;;;;;;;;;;;;
27;vous;41311168;0,08522421;;;;;;;;;;;;;;;;;;;;;;
28;mais;39392714;0,081266473;;;;;;;;;;;;;;;;;;;;;;
29;ou;35845750;0,073949149;;;;;;;;;;;;;;;;;;;;;;
30;on;34747722;0,071683937;;;;;;;;;;;;;;;;;;;;;;
31;son;32946649;0,067968355;;;;;;;;;;;;;;;;;;;;;;
32;elle;32105179;0,066232417;;;;;;;;;;;;;;;;;;;;;;
33;nous;30894729;0,06373528;;;;;;;;;;;;;;;;;;;;;;
34;sont;30840303;0,063623;;;;;;;;;;;;;;;;;;;;;;
35;tout;27127438;0,055963426;;;;;;;;;;;;;;;;;;;;;;
36;comme;25484173;0,052573399;;;;;;;;;;;;;;;;;;;;;;
37;cette;25360088;0,052317414;;;;;;;;;;;;;;;;;;;;;;
38;si;25083936;0,051747717;;;;;;;;;;;;;;;;;;;;;;
39;bien;23754025;0,049004134;;;;;;;;;;;;;;;;;;;;;;
40;sa;22098540;0,045588898;;;;;;;;;;;;;;;;;;;;;;
41;y;21290626;0,043922185;;;;;;;;;;;;;;;;;;;;;;
42;?tre;21135649;0,043602471;;;;;;;;;;;;;;;;;;;;;;
43;fait;20932855;0,04318411;;;;;;;;;;;;;;;;;;;;;;
44;ont;19672829;0,040584699;;;;;;;;;;;;;;;;;;;;;;
